"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","574","should display correct error message","","Fri May 09 20:49:18 GMT+06:00 2025","passed","Fri May 09 20:49:18 GMT+06:00 2025","","Q1: Locked User Test","",""
"","5279","Reset app state via hamburger menu","","Fri May 09 20:49:24 GMT+06:00 2025","passed","Fri May 09 20:49:30 GMT+06:00 2025","","Q2: Standard User Test","",""
"","114","Check cart badge have 3 items","","Fri May 09 20:49:32 GMT+06:00 2025","passed","Fri May 09 20:49:32 GMT+06:00 2025","","Q2: Standard User Test","",""
"","2106","Verify Order Success Message","","Fri May 09 20:49:46 GMT+06:00 2025","passed","Fri May 09 20:49:49 GMT+06:00 2025","","Q2: Standard User Test","",""
"","2091","Verify success message and cleanup","","Fri May 09 20:50:53 GMT+06:00 2025","passed","Fri May 09 20:50:55 GMT+06:00 2025","","Q3: Performance Glitch User Test","",""
"","11453","Filter products by Z-A and add first item","","Fri May 09 20:50:20 GMT+06:00 2025","passed","Fri May 09 20:50:31 GMT+06:00 2025","","Q3: Performance Glitch User Test","",""
"","6447","Complete checkout information","","Fri May 09 20:50:37 GMT+06:00 2025","passed","Fri May 09 20:50:43 GMT+06:00 2025","","Q3: Performance Glitch User Test","",""
"","7727","Reset the app state","","Fri May 09 20:50:45 GMT+06:00 2025","passed","Fri May 09 20:50:53 GMT+06:00 2025","","Q3: Performance Glitch User Test","",""
"","2266","Verify Product Name and Prices","","Fri May 09 20:49:44 GMT+06:00 2025","passed","Fri May 09 20:49:46 GMT+06:00 2025","","Q2: Standard User Test","",""
"","9283","Reset app state","","Fri May 09 20:50:11 GMT+06:00 2025","passed","Fri May 09 20:50:20 GMT+06:00 2025","","Q3: Performance Glitch User Test","",""
"","5172","Verify cart and proceed to checkout","","Fri May 09 20:50:31 GMT+06:00 2025","passed","Fri May 09 20:50:37 GMT+06:00 2025","","Q3: Performance Glitch User Test","",""
"","5439","Checkout cart and Verify items details","","Fri May 09 20:49:32 GMT+06:00 2025","passed","Fri May 09 20:49:38 GMT+06:00 2025","","Q2: Standard User Test","",""
"","2477","Add three product to cart","","Fri May 09 20:49:30 GMT+06:00 2025","passed","Fri May 09 20:49:32 GMT+06:00 2025","","Q2: Standard User Test","",""
"","165","Verify order details","","Fri May 09 20:50:43 GMT+06:00 2025","passed","Fri May 09 20:50:43 GMT+06:00 2025","","Q3: Performance Glitch User Test","",""
"","6508","Complete Checkout and Verify Details","","Fri May 09 20:49:38 GMT+06:00 2025","passed","Fri May 09 20:49:44 GMT+06:00 2025","","Q2: Standard User Test","",""
"","2082","Check log out is done","","Fri May 09 20:49:58 GMT+06:00 2025","passed","Fri May 09 20:50:00 GMT+06:00 2025","","Q2: Standard User Test","",""
"","7158","should login successfully","","Fri May 09 20:50:03 GMT+06:00 2025","passed","Fri May 09 20:50:11 GMT+06:00 2025","","Q3: Performance Glitch User Test","",""
"","9203","Verify reset state","","Fri May 09 20:49:49 GMT+06:00 2025","passed","Fri May 09 20:49:58 GMT+06:00 2025","","Q2: Standard User Test","",""
"","2116","should display correct page","","Fri May 09 20:49:22 GMT+06:00 2025","passed","Fri May 09 20:49:24 GMT+06:00 2025","","Q2: Standard User Test","",""
